stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.04188] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04191] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04195] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04198] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04202] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04205] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04209] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04212] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04216] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04219] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04223] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04226] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04230] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04237] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04240] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04244] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04247] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04251] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04254] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04258] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04261] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04265] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04268] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04272] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04275] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04279] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04282] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04286] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04289] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04296] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04300] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04303] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04307] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04310] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04314] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04317] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04322] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04328] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04333] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04336] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04341] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04345] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04348] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.04352] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.04392] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.04399] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.07527] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.09638] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.09646] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.09652] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.09659] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.09664] Returning d3d_display: 00f7e6d8
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.09668] al_display=00f7e6d8
