stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.04524] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04529] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04534] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04538] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04541] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04544] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04548] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04551] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.04555] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.04600] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.04615] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.07528] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.09885] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.09895] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.09901] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.09908] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.09916] Returning d3d_display: 00ffe5d0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.09920] al_display=00ffe5d0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.09923] al_display->vt=00ffe510
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10080] PathFindOnPath failed to find d3dx9_43.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10159] PathFindOnPath failed to find d3dx9_42.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10239] PathFindOnPath failed to find d3dx9_41.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10316] PathFindOnPath failed to find d3dx9_40.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10390] PathFindOnPath failed to find d3dx9_39.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10469] PathFindOnPath failed to find d3dx9_38.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10544] PathFindOnPath failed to find d3dx9_37.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10634] PathFindOnPath failed to find d3dx9_36.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10715] PathFindOnPath failed to find d3dx9_35.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10792] PathFindOnPath failed to find d3dx9_34.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10866] PathFindOnPath failed to find d3dx9_33.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10955] PathFindOnPath failed to find d3dx9_32.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11042] PathFindOnPath failed to find d3dx9_31.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11122] PathFindOnPath failed to find d3dx9_30.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11195] PathFindOnPath failed to find d3dx9_29.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11267] PathFindOnPath failed to find d3dx9_28.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11371] PathFindOnPath failed to find d3dx9_27.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11505] PathFindOnPath failed to find d3dx9_26.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11582] PathFindOnPath failed to find d3dx9_25.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11667] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.11673] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0.11682] added dtor for queue 0271b8f0, func 728762a7
dtor     D               dtor.c:196  _al_register_destructor          [   0.11690] added dtor for bitmap 0271cf18, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11751] added dtor for bitmap 02736b98, func 72851ca6
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11892] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11898] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11903] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11907] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11910] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11913] Fake format
